category,company.name,heat.rate,main.mmbtu,net.mwh,plant.id,plant.name,year
C,ACE Cogeneration Co ,12.4130820875427,8205370,661026,C0001 ,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),2001
C,Air Products and Chemicals Inc ,6.24330271399675,2811790,450369,C0021 ,Stockton CoGen (Retired 3/31/2012 - Repowered E0002),2001
C,DTE Stockton LLC ,10.2234938242499,2558460,250253,C0004 ,Port of Stockton District Energy Facility - Retired Jan 2011,2001
C,GWF Power Systems LP ,10.6507635553025,1758260,165083,C0008 ,East Third Street Power Plant - Retired April 2012,2001
C,GWF Power Systems LP ,11.5140447048242,1894590,164546,C0009 ,Loveridge Road Power Plant - Retired April 2012,2001
C,GWF Power Systems LP ,11.6632765433698,1800460,154370,C0012 ,Nichols Road Power Plant - Retired April 2012,2001
C,GWF Power Systems LP ,11.799655371906,1896830,160753,C0010 ,Wilbur East Power Plant - Retired April 2012,2001
C,GWF Power Systems LP ,11.2297458533479,1816490,161757,C0011 ,Wilbur West Power Plant - Retired April 2012,2001
C,Hanford LP ,12.856735274096,2568570,199784,C0007 ,Hanford - Retired October 2011,2001
C,Jackson Valley Energy Part LP ,0,0,0.119999997317791,C0005 ,Buena Vista Biomass Power (Jackson Valley) Retired Dec 2012,2001
C,Karnavati Holdings Inc ,41.4464376688157,15190870,366518.109985352,C0017 ,Argus Cogen Plant,2001
C,Los Angeles Department of Water & Power (LADWP) ,9.51600466242267,127358400,13383600,C0023 ,Intermountain Power Project (UT),2001
C,Mt Poso Cogeneration Co ,9.01230800007181,3513980,389909,C0016 ,Mt. Poso Cogeneration - Retired November 2011,2001
C,Rio Bravo ,6.23325199865103,1571060,252045,C0018 ,Rio Bravo Jasmin,2001
C,Rio Bravo ,5.97431679981772,1678090,280884,C0022 ,Rio Bravo Poso,2001
C,Southern California Edison (SCE) ,9.99515269025691,103100000,10315000,C0024 ,Mohave Generating Station (Nevada) - Retired December 2005,2001
C,Tesoro Refining & Marketing Company LLC ,14.6413862425391,3291940,224838,C0002 ,Los Angeles Refinery - Calciner,2001
C,TXI Riverside Cement ,6.41737175684536,1027710,160145,C0019 ,TXI Riverside Cement Power House (Shutdown March 2008),2001
E,Big Valley Power LLC ,24.1862068965517,701400,29000,E0003 ,Big Valley Power LLC_(Retired June 30  2010),2001
E,Bio Energy Partners/WM Renewable Energy ,19.6655750026844,732582,37252,E0106 ,Altamont Gas Recovery,2001
E,Blue Lake Power LLC ,,0,0,E0097 ,Blue Lake,2001
E,Burney Forest Power ,17.8020463464773,3048280,171232,E0005 ,Burney Forest Products,2001
E,Burney Mountain Power ,20.4001166627171,1119130,54859,E0006 ,Burney Mountain Power,2001
E,Chateau Energy Inc ,,0,0,E0042 ,Mesquite Lake Resource Recovery Project - Retired Dec 2008,2001
E,City of Oxnard Wastewater Division ,8.14168086314594,57350,7044,E0211 ,Oxnard Wastewater Treatment Plant,2001
E,City of San Diego ,49.1836889665123,647700,13169,E0171 ,Gas Utilization Facility (Pt. Loma Sewage TP),2001
E,City of Sunnyvale Water Pollution Control Plant ,15.418713051387,135623,8796,E0181 ,Sunnyvale Water Pollution Control Plant,2001
E,Collins Pine Co ,63.2234909188034,1893670,29952,E0026 ,Collins Pine Co Project,2001
E,County of Riverside Waste Management Department ,13.4658853076601,32170,2389,E0210 ,RCWMD Badlands Power Plant,2001
E,County of Sacramento Waste Management ,13.4084028776978,931884,69500,E0203 ,Kiefer Landfill Gas-to-Energy Facility,2001
E,County Sanitation Districts of Los Angeles County ,16.6184502244092,1229300,73972,E0113 ,Commerce Refuse To Energy,2001
E,County Sanitation Districts of Los Angeles County ,10.0151709589523,569713,56885,E0130 ,Palos Verdes Gas to Energy Facility - Retired Oct 2011,2001
E,County Sanitation Districts of Los Angeles County ,11.704381894125,4744102,405327,E0127 ,Puente Hills Energy Recovery,2001
E,County Sanitation Districts of Los Angeles County ,0,0,68529,E0129 ,Spadra Landfill Gas to Energy,2001
E,County Sanitation Districts of Los Angeles County ,13.8735179879019,1089418,78525,E0212 ,Total Energy Facilities,2001
E,Covanta Delano/Mendota ,16.2588447904358,4678320,287740,E0029 ,Covanta Delano  Inc,2001
E,Covanta Delano/Mendota ,16.5458108770211,2769140,167362,E0052 ,Covanta Mendota LP,2001
E,Covanta Energy Inc ,18.3952971539178,2565960,139490,E0150 ,Stanislaus Resource Recovery Facility,2001
E,Desert View Power (formerly Colmac Energy Inc) ,12.5121500207829,4695910,375308,E0027 ,Desert View Power (Mecca Plant),2001
E,Diamond Walnut Growers Inc ,35.2609570943254,840727,23843,E0032 ,Diamond Walnut - Retired December 2005,2001
E,Dole Packaged Frozen Foods ,,3854,0,E0043 ,J R Wood Incorporated - Retired December 2004,2001
E,DTE Energy Services ,16.3601817596912,2441070,149208,E0105 ,Woodland Biomass Power Ltd,2001
E,East Bay Municipal Utility District (EBMUD) ,,0,0,E0036 ,EBMUD Wastewater Treatment Plant Power Generation Station,2001
E,Eel River Power LLC ,19.2001929012346,3483683,181440,E0063 ,Scotia,2001
E,Encina Wastewater Authority ,17.0959492635025,83565,4888,E0251 ,Encina Water Pollution Control,2001
E,Evergreen Pulp Incorporated ,0,0,126095,E0048 ,Samoa Pulp Mill (Closed) - Retired December 2008,2001
E,Fortistar Methane Group ,14.2996997641004,133359,9326,E0118 ,American Canyon Power Plant (Retired 2013),2001
E,Fortistar Methane Group ,15.3904781724751,961397,62467,E0117 ,Coyote Canyon,2001
E,Fortistar Methane Group ,14.3522847522848,149192,10395,E0120 ,Guadalupe Power Plant (Retired 2013),2001
E,Fortistar Methane Group ,13.6506188038619,210670,15433,E0123 ,Marsh Road Power Plant (Retired 2013),2001
E,Fortistar Methane Group ,12.2289455140591,537988,43993,E0168 ,MM Lopez Energy LLC,2001
E,Fortistar Methane Group ,15.0366800048502,496030,32988,E0194 ,MM Prima Deshecha Energy LLC,2001
E,Fortistar Methane Group ,12.8398468444679,583494,45444,E0054 ,MM San Diego LLC - Miramar Landfill,2001
E,Fortistar Methane Group ,11.6069791057636,377192,32497,E0202 ,MM San Diego LLC - North City,2001
E,Fortistar Methane Group ,12.3468208092486,262728,21279,E0095 ,MM Tajiguas Energy LLC,2001
E,Fortistar Methane Group ,12.1698882039494,116478,9571,E0101 ,MM Tulare Energy LLC,2001
E,Fortistar Methane Group ,17.139202459936,1237399,72197,E0152 ,MM West Covina LLC,2001
E,Fortistar Methane Group ,19.6691800188501,208690,10610,E0154 ,MM Yolo Power LLC Facility,2001
E,Fortistar Methane Group ,16.4161965293151,229876,14003,E0179 ,Newby Island I,2001
E,Fortistar Methane Group ,14.3000424688562,202031,14128,E0122 ,Newby Island II (Retired 2010),2001
E,Gas Recovery Systems Inc ,18.371383975026,176549,9610,E0075 ,San Marcos,2001
E,Gas Recovery Systems Inc ,19.9371160504859,178497,8953,E0094 ,Sycamore Landfill San Diego,2001
E,Georgia Pacific Corp ,35.1897629780428,1210000,34385,E0039 ,Fort Bragg Western Wood Products - Retired December 2001,2001
E,HL Power Co ,14.511643653423,1800300,124059,E0041 ,HL Power Company (Honey Lake),2001
E,IHI Power Services Corp ,21.2640012710374,1873720,88117,E0100 ,Pacific Ultrapower Chinese,2001
E,Los Angeles Department of Water & Power (LADWP) ,,0,0,E0153 ,Bradley Landfill,2001
E,Madera Power LLC ,,0,0,E0050 ,Madera Power (offline 3/28/2012 - repowered 2013),2001
E,Marubeni Sustainable Energy Inc ,18.5727992728068,2206690,118813,E0037 ,DG Fairhaven Power Plant,2001
E,Modesto Energy LP ,,0,0,E0134 ,Modesto Energy - Retired Dec 2002,2001
E,Monterey Regional Waste Mgmt Dist ,13.8360039081583,283223,20470,E0135 ,Marina Landfill Gas (Monterey Regional Waste Management Dst),2001
E,MRWPCA ,13,84669,6513,E0055 ,Monterey Regional Water Pollution Control Cogen,2001
E,Mt Lassen Power ,20.149732856449,912662,45294,E0056 ,Mount  Lassen Power (Retired 2011),2001
E,NEO Corporation ,29.7564432989691,46182,1552,E0139 ,Corona Landfill - Retired Dec 2004,2001
E,Orange County Sanitation District ,10.2569000870348,695305,67789,E0025 ,Plant No 2,2001
E,Otay Landfill Gas LLC ,12.2376190124732,331615,27098,E0061 ,Otay 1 & 2 Power Station,2001
E,Pacific Oroville Power Inc ,22.191286977285,2843880,128153,E0064 ,Pacific Oroville Power Inc,2001
E,Pacific Recovery Corp ,12.5864601415409,377040,29956,E0125 ,Oxnard - Closed December 2009,2001
E,Pacific Recovery Corp ,14.0617418861327,128679,9151,E0144 ,Salinas - Closed August 2009,2001
E,Pacific Recovery Corp ,12.0339888322408,99136,8238,E0141 ,Santa Clara - Retired Dec 2005,2001
E,Ridgewood Power Management LLC ,12.439128577531,465920,37456,E0109 ,Brea Power Partners LP,2001
E,Rio Bravo ,20.7882702932427,2445740,117650,E0098 ,Rio Bravo Fresno,2001
E,Rio Bravo ,17.5851184565187,2479150,140980,E0099 ,Rio Bravo Rocklin,2001
E,SCS Energy ,13.5427639640319,718403,53047,E0142 ,Penrose Landfill - Retired December 2005,2001
E,SERRF Joint Powers Authority ,18.3675734011027,4220850,229799,E0112 ,Southeast Resource Recovery,2001
E,Sierra Pacific Industries Inc ,35.9998957899125,1381820,38384,E0174 ,SPI - Anderson,2001
E,Sierra Pacific Industries Inc ,22.865417577871,2708020,118433,E0078 ,SPI - Burney,2001
E,Sierra Pacific Industries Inc ,34.0934124502558,1919050,56288,E0004 ,SPI - Lincoln,2001
E,Sierra Pacific Industries Inc ,18.3766660192199,1986830,108117,E0084 ,SPI - Loyalton - Shut Down 08/20/2010,2001
E,Sierra Pacific Industries Inc ,20.1459700909095,4226000,209769,E0081 ,SPI - Quincy,2001
E,Sierra Pacific Industries Inc ,29.8511889671957,1177510,39446,E0038 ,SPI - Sonora - Restarted 1/1/2012 (Shut Down 9/28/2009),2001
E,Sierra Pacific Industries Inc ,22.370794840509,2053460,91792,E0082 ,SPI - Susanville - Shut Down 2004,2001
E,Simpson Paper Co ,,0,0,E0088 ,Humboldt Pulp Mill - Retired Dec 2003,2001
E,Soledad Energy LLC ,,0,0,E0089 ,Soledad Energy - Retired Jan 2006,2001
E,Sonoma County Department of Transportation and Public Works ,13.3170171339564,320607.1875,24075,E0195 ,Central LF (Sonoma) Phase I,2001
E,Sonoma County Department of Transportation and Public Works ,13.3379685890834,323779.1875,24275,E0196 ,Central LF (Sonoma) Phase II,2001
E,South Orange County Wastewater Authority ,8.32610581092801,48000,5765,E0155 ,Aliso Water Management Agency,2001
E,Thermal Energy Dev Partner LP ,17.8751622055557,2438190,136401,E0096 ,Tracy Biomass Plant,2001
E,Toyon Landfill Gas Conversion LLC ,13.2116384307566,353266,26739,E0143 ,Toyon Landfill Gas Conversion LLC,2001
E,Wadham Energy LP ,14.4441245360247,1856200,128509,E0102 ,Wadham,2001
E,West Contra Costa Energy Recovery Inc ,12.1834341504829,229609,18846,E0137 ,Nove Power Plant,2001
E,Wheelabrator Hudson Energy Co Inc ,23.3274485250344,1136350,48713,E0165 ,Wheelabrator Hudson Energy - Retired 2003 and 2014,2001
E,Wheelabrator Martell Inc ,12.7188652777056,979200,76988,E0051 ,Wheelabrator Martell Inc - Retired December 2003,2001
E,Wheelabrator Technologies Inc ,19.6936051503404,6720620,341259,E0086 ,Wheelabrator Shasta,2001
E,WPI Packaging & Maintenance Co ,20.1380892782645,96542,4794,E0146 ,Byxbee Park Sanitary Landill - Retired December 2004,2001
G,Aera Energy LLC ,18.8822180248246,1119640,59296,G0802 ,AERA San Ardo Cogen Facility,2001
G,Aera Energy LLC ,5.61452084025676,320999,57173,G0557 ,Coalinga Cogeneration Facility,2001
G,Aera Energy LLC ,15.8854075850044,291529,18352,G0599 ,Lost Hills Cogeneration Plant,2001
G,Aera Energy LLC ,12.2675287356322,512292,41760,G0031 ,Oxford Cogeneration Facility (Shutdown 12/2006),2001
G,Aera Energy LLC ,9.67192115014725,4450196,460115,G0516 ,South Belridge Cogen Facility,2001
G,Aera Energy LLC ,11.6504282059838,314247,26973,G0556 ,Weir Cogeneration Plant (shutdown) - Retired December 2006,2001
G,AES Alamitos LLC ,10.0002150135639,85810385,8580854,G0011 ,Alamitos,2001
G,AES Huntington Beach LLC ,11.3293225154284,14934143,1318185,G0274 ,Huntington Beach (AES),2001
G,AES Redondo Beach LLC ,9.88387214177002,60941030,6165704,G0490 ,Redondo Beach LLC_(AES),2001
G,Air Products and Chemicals Inc ,0,0,188848,G0078 ,Wilmington,2001
G,Algonquin Power Systems ,10.6168529243821,1301520,122590,G0536 ,Algonquin Power Sanger LLC,2001
G,AltaGas Pomona Energy Inc ,9.89373127578995,2275390,229983,G0562 ,AltaGas Pomona Energy Inc (San Gabriel Cogeneration),2001
G,AltaGas San Joaquin Energy Inc ,10.2951964395335,268334,26064,G0832 ,Hanford Energy Park Peaker,2001
G,Applied Energy LLC ,10.7812879511634,3329100,308785,G0626 ,Naval Station Energy Facility,2001
G,Applied Energy LLC ,10.5785083152597,2570440,242987,G0399 ,North Island Energy Facility,2001
G,Applied Energy LLC ,10.6976511681674,1712020,160037,G0386 ,NTC MCRD Energy Facility,2001
G,B Braun Medical Inc ,15.6481798265358,521413,33321,G9100 ,B Braun Medical Inc,2001
G,Badger Creek Limited ,9.17019709699643,2316080,252566,G0040 ,Badger Creek Cogen,2001
G,Bear Mountain Limited ,10.0452236832951,2598840,258714,G0428 ,Bear Mountain Cogen,2001
G,Biola University ,11.0258449304175,72098,6539,G0054 ,Biola University,2001
G,Black Hills Energy Capital ,16.9467806074964,600882,35457,G0415 ,Black Hills Ontario Facility -Retired February 2009,2001
G,Blue Heron Paper Co of California ,,0,0,G0565 ,Blue Heron Paper - Retired 2006,2001
G,Burbank Water and Power ,13.6597585971305,59980,4391,G0329 ,Magnolia,2001
G,Burbank Water and Power ,13.9397496389766,1805100,129493,G0410 ,Olive,2001
G,C&H Sugar Company ,0,0,47508,G0509 ,C&H Sugar Plant,2001
G,Cabrillo Power I LLC (NRG West Coast Inc) ,10.9731764636488,42415431,3865374,G0196 ,Encina,2001
G,Cabrillo Power II LLC (NRG West Coast Inc) ,0,0,10077,G0175 ,Division - Retired Dec 2003,2001
G,Cabrillo Power II LLC (NRG West Coast Inc) ,7.2867628011398,84388,11581,G0189 ,El Cajon,2001
G,Cabrillo Power II LLC (NRG West Coast Inc) ,5.21715255311809,559597,107261,G0289 ,Kearny,2001
G,Cabrillo Power II LLC (NRG West Coast Inc) ,6.32988875154512,128022,20225,G0389 ,Naval Station - Retired December 2003,2001
G,Cabrillo Power II LLC (NRG West Coast Inc) ,16.7634548611111,193115,11520,G0385 ,Naval Training Center - Retired December 2003,2001
G,Cabrillo Power II LLC (NRG West Coast Inc) ,3.26135401974612,92492,28360,G0398 ,North Island - Retired December 2003,2001
G,Cabrillo Power II LLC (NRG West Coast Inc) ,7.77853391034323,235464,30271,G0360 ,San Diego Combustion Turbines - Miramar 1A 1B,2001
G,California Power Holdings LLC ,9.64566184563394,622232,64509,G0896 ,Chowchilla II Peaker,2001
G,California Power Holdings LLC ,10.03486684708,255859,25497,G0897 ,Red Bluff,2001
G,California Resources Corporation ,11.507569379956,3977810,345669,G0775 ,Elk Hills CoGeneration,2001
G,Calpine Corporation - West Region ,6.96308410156515,7685330,1103725,G0780 ,Los Medanos Energy Center LLC,2001
G,Calpine Corporation - West Region ,6.98188190515556,11350990,1625778,G0779 ,Sutter Energy Center - Calpine Construction Finance Co,2001
G,Calpine Gilroy Cogen LP ,8.6779402834529,8431400,971590,G0229 ,Calpine Gilroy Cogen  L.P.,2001
G,Calpine King City Cogeneration LLC ,8.31986276704798,7231450,869179,G0019 ,Calpine King City Cogeneration  LLC,2001
G,Calpine Monterey Cogeneration Inc ,8.5648836934703,1813400,211725,G0661 ,Watsonville - (Non-Operational May 2011),2001
G,Cardinal Cogen ,11.757414266003,4209460,358026,G0080 ,Cardinal Cogen - Retired 3/31/2015,2001
G,Central Valley Financing ,9.21325146705392,5424440,588765,G0085 ,Sacramento Carson - Carson Ice CG,2001
G,Cenveo Corporation ,10.8368563960718,427048,39407,G0028 ,Cenveo Anderson Lithograph (Shutdown May 2009),2001
G,Chalk Cliff Ltd ,9.23745816894133,2467750,267146,G0429 ,Chalk Cliff Cogen,2001
G,Chevron Business and Real Estate Services ,11.691581920904,206941,17700,G0101 ,Chevron Concord Cogeneration (Retired 7/27/2010),2001
G,Chevron North America Exploration and Production ,14.5701202060675,738166,50663,G0595 ,A Fee Cogeneration Plant - Indefinite Shutdown,2001
G,Chevron North America Exploration and Production ,14.9456903961866,382520,25594,G0596 ,B Fee Cogeneration Plant - Indefinite Shutdown,2001
G,Chevron North America Exploration and Production ,15.3933928709503,796331,51732,G0597 ,C Fee Cogeneration Plant - Indefinite Shutdown,2001
G,Chevron North America Exploration and Production ,13.308045803827,1943161,146014,G0100 ,Coalinga Cogeneration Plants,2001
G,Chevron North America Exploration and Production ,13.3609313237957,2619611,196065,G0102 ,Cymric Cogeneration Plants,2001
G,Chevron North America Exploration and Production ,10.1029548136908,3834920,379584,G0103 ,Kern River Eastridge Cogeneration Plant,2001
G,Chevron North America Exploration and Production ,15.3947939589425,1021383,66346,G0600 ,McKittrick Cogeneration Plant,2001
G,Chevron North America Exploration and Production ,14.6996308759654,991593,67457,G0601 ,North Midway Cogeneration Plant,2001
G,Chevron North America Exploration and Production ,11.0161678414031,2202165,199903,G0558 ,Southeast Kern River Cogen,2001
G,Chevron North America Exploration and Production ,13.2498405918849,1309124,98803,G0107 ,Taft 26C Cogeneration Plant,2001
G,Chevron Products Co - NorCal ,10.7934397933412,11055688,1024297,G0104 ,Chevron Richmond Refinery Cogeneration,2001
G,Chevron Products Co - SoCal ,11.0461138960593,10030490,908056,G0105 ,Chevron El Segundo Refinery Cogeneration,2001
G,City of Anaheim ,9.17782296068028,866671,94431,G0026 ,Anaheim CT,2001
G,City of Glendale ,7.83083964396162,3160151,403552,G0236 ,Grayson,2001
G,City of Palm Springs ,12.4320270016876,132600,10666,G0119 ,Municipal Cogeneration Plant (Palm Springs),2001
G,City of Pasadena ,12.9496701573096,2526390,195093,G0061 ,Broadway,2001
G,City of Pasadena ,15.1646937725167,58930,3886,G0231 ,Glenarm,2001
G,City of Redding Electric Utility ,14.8042200574933,2544046,171846,G0487 ,Redding Power,2001
G,City of Roseville ,,0,0,G0382 ,Roseville,2001
G,City of San Jose ,1.28900523560209,12310,9550,G0121 ,San Jose Convention Center (Closed 2001),2001
G,City of Vernon ,11.9473684210526,13166,1102,G0652 ,Vernon (includes H. Gonzales),2001
G,Clean Energy Systems Inc ,9.75233979324654,2152790,220746,G0006 ,CES Placerita Inc.  (CESP) - Retired December 2010,2001
G,Coalinga Cogeneration Company ,13.1503347901046,3935790,299292,G0131 ,Coalinga Cogeneration,2001
G,Colton Power LP ,14.6194452728899,49019,3353,G0842 ,Century (Alliance),2001
G,Colton Power LP ,14.9083405734144,68638,4604,G0821 ,Drews - Agua Mansa (Alliance Colton),2001
G,ConocoPhillips ,12.1058508206836,4846420,400337,G0759 ,ConocoPhillips Los Angeles Refinery Wilmington Plant,2001
G,ConocoPhillips Company San Francisco Refinery ,14.5382584381969,5599890,385183,G0632 ,ConocoPhillips Company  San Francisco Refinery,2001
G,ConocoPhillips Company San Francisco Refinery ,4.27736591582025,570622,133405,G0630 ,Phillips66 - Carbon Plant,2001
G,Corn Products International Inc ,15.3119612511288,373030,24362,G0751 ,Ingredion Stockton Plant,2001
G,Corona Energy Partners Ltd ,9.78080094772147,2542930,259992,G0149 ,Corona Cogen,2001
G,County of Los Angeles ,8.69978031634446,1980070,227600,G0157 ,Pitchess Cogeneration Station,2001
G,CP Kelco US Inc ,12.3294505168311,2575240,208869,G0290 ,CP Kelco - San Diego Plant,2001
G,Crockett Cogeneration LP ,8.97645506024609,12649800,1409220,G0161 ,Crockett Cogeneration Project,2001
